camera_id,organization_id,organization_name,name,status,latitude,longitude,address,camera_type,codec,width,height,rtsp_url,webrtc_url,hls_url,department,district,vms_vendor,storage_type,retention_days
CAM-001,ORG-MUNICIPAL,Municipal Corporation,Valsad Camera 1,maintenance,20.552519,72.91687,Valsad,IP,H264,1920,1080,rtsp://demo-host:8554/stream/1,http://demo-host:8889/stream/1/whep,http://demo-host/live/stream/1/index.m3u8,Municipal Corporation,Valsad,CP Plus,cloud,7
CAM-002,ORG-FOODCIVIL,Food & Civil Supplies,Valsad Camera 2,online,20.589136,72.905001,Valsad,IP,H264,1920,1080,rtsp://demo-host:8554/stream/2,http://demo-host:8889/stream/2/whep,http://demo-host/live/stream/2/index.m3u8,Food & Civil Supplies,Valsad,Bosch,cloud,15
CAM-003,ORG-FOODCIVIL,Food & Civil Supplies,Valsad Camera 3,online,20.643607,72.923588,Valsad,IP,H264,1920,1080,rtsp://demo-host:8554/stream/3,http://demo-host:8889/stream/3/whep,http://demo-host/live/stream/3/index.m3u8,Food & Civil Supplies,Valsad,CP Plus,local,7
CAM-004,ORG-POLICE,Traffic Police,Valsad Camera 4,online,20.592566,72.946826,Valsad,IP,H264,1920,1080,rtsp://demo-host:8554/stream/4,http://demo-host:8889/stream/4/whep,http://demo-host/live/stream/4/index.m3u8,Traffic Police,Valsad,Hikvision,cloud,15
CAM-005,ORG-FOODCIVIL,Food & Civil Supplies,Valsad Camera 5,online,20.640406,72.932159,Valsad,IP,H264,1920,1080,rtsp://demo-host:8554/stream/5,http://demo-host:8889/stream/5/whep,http://demo-host/live/stream/5/index.m3u8,Food & Civil Supplies,Valsad,Hikvision,cloud,7
CAM-006,ORG-FOODCIVIL,Food & Civil Supplies,Valsad Camera 6,online,20.579144,72.900751,Valsad,IP,H264,1920,1080,rtsp://demo-host:8554/stream/6,http://demo-host:8889/stream/6/whep,http://demo-host/live/stream/6/index.m3u8,Food & Civil Supplies,Valsad,Hikvision,cloud,7
CAM-007,ORG-POLICE,Home,Dahod Camera 7,maintenance,22.833071,74.237535,Dahod,IP,H264,1920,1080,rtsp://demo-host:8554/stream/7,http://demo-host:8889/stream/7/whep,http://demo-host/live/stream/7/index.m3u8,Home,Dahod,Hikvision,local,7
CAM-008,ORG-POLICE,Traffic Police,Dahod Camera 8,online,22.865495,74.282823,Dahod,IP,H264,1920,1080,rtsp://demo-host:8554/stream/8,http://demo-host:8889/stream/8/whep,http://demo-host/live/stream/8/index.m3u8,Traffic Police,Dahod,Bosch,local,7
CAM-009,ORG-FOODCIVIL,Food & Civil Supplies,Dahod Camera 9,online,22.791609,74.274577,Dahod,IP,H264,1920,1080,rtsp://demo-host:8554/stream/9,http://demo-host:8889/stream/9/whep,http://demo-host/live/stream/9/index.m3u8,Food & Civil Supplies,Dahod,Hikvision,cloud,15
CAM-010,ORG-FOODCIVIL,Food & Civil Supplies,Dahod Camera 10,online,22.862582,74.268161,Dahod,IP,H264,1920,1080,rtsp://demo-host:8554/stream/10,http://demo-host:8889/stream/10/whep,http://demo-host/live/stream/10/index.m3u8,Food & Civil Supplies,Dahod,CP Plus,local,15
CAM-011,ORG-POLICE,Traffic Police,Dahod Camera 11,maintenance,22.860967,74.270205,Dahod,IP,H264,1920,1080,rtsp://demo-host:8554/stream/11,http://demo-host:8889/stream/11/whep,http://demo-host/live/stream/11/index.m3u8,Traffic Police,Dahod,CP Plus,local,15
CAM-012,ORG-POLICE,Traffic Police,Somnath Camera 12,maintenance,20.86454,70.408711,Somnath,IP,H264,1920,1080,rtsp://demo-host:8554/stream/12,http://demo-host:8889/stream/12/whep,http://demo-host/live/stream/12/index.m3u8,Traffic Police,Somnath,Hikvision,local,7
CAM-013,ORG-POLICE,Traffic Police,Somnath Camera 13,online,20.922174,70.433866,Somnath,IP,H264,1920,1080,rtsp://demo-host:8554/stream/13,http://demo-host:8889/stream/13/whep,http://demo-host/live/stream/13/index.m3u8,Traffic Police,Somnath,Hikvision,cloud,30
CAM-014,ORG-TRANSPORT,RTO,Somnath Camera 14,offline,20.923848,70.39609,Somnath,IP,H264,1920,1080,rtsp://demo-host:8554/stream/14,http://demo-host:8889/stream/14/whep,http://demo-host/live/stream/14/index.m3u8,RTO,Somnath,Hikvision,local,7
CAM-015,ORG-TRANSPORT,RTO,Somnath Camera 15,maintenance,20.916396,70.361694,Somnath,IP,H264,1920,1080,rtsp://demo-host:8554/stream/15,http://demo-host:8889/stream/15/whep,http://demo-host/live/stream/15/index.m3u8,RTO,Somnath,CP Plus,cloud,30
CAM-016,ORG-FOODCIVIL,Food & Civil Supplies,Somnath Camera 16,online,20.843316,70.382952,Somnath,IP,H264,1920,1080,rtsp://demo-host:8554/stream/16,http://demo-host:8889/stream/16/whep,http://demo-host/live/stream/16/index.m3u8,Food & Civil Supplies,Somnath,CP Plus,local,30
CAM-017,ORG-MUNICIPAL,Municipal Corporation,Jamnagar Camera 17,online,22.448614,70.084459,Jamnagar,IP,H264,1920,1080,rtsp://demo-host:8554/stream/17,http://demo-host:8889/stream/17/whep,http://demo-host/live/stream/17/index.m3u8,Municipal Corporation,Jamnagar,Bosch,cloud,7
CAM-018,ORG-TRANSPORT,RTO,Jamnagar Camera 18,offline,22.478161,70.046829,Jamnagar,IP,H264,1920,1080,rtsp://demo-host:8554/stream/18,http://demo-host:8889/stream/18/whep,http://demo-host/live/stream/18/index.m3u8,RTO,Jamnagar,CP Plus,cloud,30
CAM-019,ORG-TRANSPORT,RTO,Jamnagar Camera 19,online,22.460037,70.029751,Jamnagar,IP,H264,1920,1080,rtsp://demo-host:8554/stream/19,http://demo-host:8889/stream/19/whep,http://demo-host/live/stream/19/index.m3u8,RTO,Jamnagar,Bosch,cloud,7
CAM-020,ORG-MUNICIPAL,Municipal Corporation,Jamnagar Camera 20,online,22.475409,70.01452,Jamnagar,IP,H264,1920,1080,rtsp://demo-host:8554/stream/20,http://demo-host:8889/stream/20/whep,http://demo-host/live/stream/20/index.m3u8,Municipal Corporation,Jamnagar,CP Plus,local,30
CAM-021,ORG-TRANSPORT,RTO,Jamnagar Camera 21,online,22.43619,70.060557,Jamnagar,IP,H264,1920,1080,rtsp://demo-host:8554/stream/21,http://demo-host:8889/stream/21/whep,http://demo-host/live/stream/21/index.m3u8,RTO,Jamnagar,CP Plus,cloud,15
CAM-022,ORG-POLICE,Home,Dwarka Camera 22,online,22.202288,68.956441,Dwarka,IP,H264,1920,1080,rtsp://demo-host:8554/stream/22,http://demo-host:8889/stream/22/whep,http://demo-host/live/stream/22/index.m3u8,Home,Dwarka,Hikvision,local,7
CAM-023,ORG-TRANSPORT,RTO,Dwarka Camera 23,maintenance,22.256272,68.959811,Dwarka,IP,H264,1920,1080,rtsp://demo-host:8554/stream/23,http://demo-host:8889/stream/23/whep,http://demo-host/live/stream/23/index.m3u8,RTO,Dwarka,Hikvision,local,15
CAM-024,ORG-POLICE,Home,Dwarka Camera 24,online,22.220127,68.919804,Dwarka,IP,H264,1920,1080,rtsp://demo-host:8554/stream/24,http://demo-host:8889/stream/24/whep,http://demo-host/live/stream/24/index.m3u8,Home,Dwarka,CP Plus,local,7
CAM-025,ORG-FOODCIVIL,Food & Civil Supplies,Dwarka Camera 25,online,22.258403,68.935488,Dwarka,IP,H264,1920,1080,rtsp://demo-host:8554/stream/25,http://demo-host:8889/stream/25/whep,http://demo-host/live/stream/25/index.m3u8,Food & Civil Supplies,Dwarka,Bosch,local,30
CAM-026,ORG-FOODCIVIL,Food & Civil Supplies,Ahmedabad Camera 26,offline,23.010756,72.565871,Ahmedabad,IP,H264,1920,1080,rtsp://demo-host:8554/stream/26,http://demo-host:8889/stream/26/whep,http://demo-host/live/stream/26/index.m3u8,Food & Civil Supplies,Ahmedabad,Bosch,cloud,7
CAM-027,ORG-POLICE,Home,Ahmedabad Camera 27,online,23.016295,72.590586,Ahmedabad,IP,H264,1920,1080,rtsp://demo-host:8554/stream/27,http://demo-host:8889/stream/27/whep,http://demo-host/live/stream/27/index.m3u8,Home,Ahmedabad,Hikvision,local,15
CAM-028,ORG-FOODCIVIL,Food & Civil Supplies,Ahmedabad Camera 28,online,22.986312,72.570023,Ahmedabad,IP,H264,1920,1080,rtsp://demo-host:8554/stream/28,http://demo-host:8889/stream/28/whep,http://demo-host/live/stream/28/index.m3u8,Food & Civil Supplies,Ahmedabad,Bosch,local,7
CAM-029,ORG-FOODCIVIL,Food & Civil Supplies,Ahmedabad Camera 29,online,22.997512,72.607926,Ahmedabad,IP,H264,1920,1080,rtsp://demo-host:8554/stream/29,http://demo-host:8889/stream/29/whep,http://demo-host/live/stream/29/index.m3u8,Food & Civil Supplies,Ahmedabad,CP Plus,cloud,7
CAM-030,ORG-TRANSPORT,RTO,Surat Camera 30,online,21.143912,72.827502,Surat,IP,H264,1920,1080,rtsp://demo-host:8554/stream/30,http://demo-host:8889/stream/30/whep,http://demo-host/live/stream/30/index.m3u8,RTO,Surat,Bosch,cloud,30
CAM-031,ORG-POLICE,Home,Surat Camera 31,maintenance,21.123706,72.858221,Surat,IP,H264,1920,1080,rtsp://demo-host:8554/stream/31,http://demo-host:8889/stream/31/whep,http://demo-host/live/stream/31/index.m3u8,Home,Surat,Hikvision,cloud,30
CAM-032,ORG-POLICE,Home,Surat Camera 32,online,21.16653,72.862686,Surat,IP,H264,1920,1080,rtsp://demo-host:8554/stream/32,http://demo-host:8889/stream/32/whep,http://demo-host/live/stream/32/index.m3u8,Home,Surat,Hikvision,cloud,30
CAM-033,ORG-FOODCIVIL,Food & Civil Supplies,Surat Camera 33,offline,21.171847,72.814266,Surat,IP,H264,1920,1080,rtsp://demo-host:8554/stream/33,http://demo-host:8889/stream/33/whep,http://demo-host/live/stream/33/index.m3u8,Food & Civil Supplies,Surat,Hikvision,local,7
CAM-034,ORG-POLICE,Traffic Police,Vadodara Camera 34,online,22.284596,73.180241,Vadodara,IP,H264,1920,1080,rtsp://demo-host:8554/stream/34,http://demo-host:8889/stream/34/whep,http://demo-host/live/stream/34/index.m3u8,Traffic Police,Vadodara,Hikvision,cloud,30
CAM-035,ORG-POLICE,Traffic Police,Vadodara Camera 35,online,22.29573,73.209504,Vadodara,IP,H264,1920,1080,rtsp://demo-host:8554/stream/35,http://demo-host:8889/stream/35/whep,http://demo-host/live/stream/35/index.m3u8,Traffic Police,Vadodara,Hikvision,cloud,15
CAM-036,ORG-FOODCIVIL,Food & Civil Supplies,Vadodara Camera 36,online,22.337213,73.16138,Vadodara,IP,H264,1920,1080,rtsp://demo-host:8554/stream/36,http://demo-host:8889/stream/36/whep,http://demo-host/live/stream/36/index.m3u8,Food & Civil Supplies,Vadodara,Bosch,cloud,30
CAM-037,ORG-POLICE,Home,Vadodara Camera 37,online,22.279702,73.202543,Vadodara,IP,H264,1920,1080,rtsp://demo-host:8554/stream/37,http://demo-host:8889/stream/37/whep,http://demo-host/live/stream/37/index.m3u8,Home,Vadodara,Bosch,cloud,30
